# Gene set generated on 2023-04-10T12:15:20 using cellxgene version 1.1.1
# Input data file was write/reisolated_data_no_rat_final.h5ad, which was last modified on 2023-04-03T11:57:50
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (4/10/2023, 12:08:14 PM)",,KMT2C,
"Pop1 high (4/10/2023, 12:08:14 PM)",,KMT2E,
"Pop1 high (4/10/2023, 12:08:14 PM)",,KANSL1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,MKLN1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,CHD1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,ANK2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,UBE3A,
"Pop1 high (4/10/2023, 12:08:14 PM)",,WRN,
"Pop1 high (4/10/2023, 12:08:14 PM)",,ARGLU1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,ZNF638,
"Pop1 high (4/10/2023, 12:08:14 PM)",,KDM6A,
"Pop1 high (4/10/2023, 12:08:14 PM)",,SSBP2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,FUS,
"Pop1 high (4/10/2023, 12:08:14 PM)",,CAMK2D,
"Pop1 high (4/10/2023, 12:08:14 PM)",,UBR5,
"Pop1 high (4/10/2023, 12:08:14 PM)",,FMNL2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,ASH1L,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PDS5A,
"Pop1 high (4/10/2023, 12:08:14 PM)",,WAC,
"Pop1 high (4/10/2023, 12:08:14 PM)",,SEC31A,
"Pop1 high (4/10/2023, 12:08:14 PM)",,RBM26,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PNN,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PARD3,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ATP8,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND3,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND4L,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MTRNR2L12,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ATP6,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND5,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND6,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND2,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS15,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND4,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-ND1,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL39,
"Pop2 high (4/10/2023, 12:08:14 PM)",,SSR4,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS10,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL36,
"Pop2 high (4/10/2023, 12:08:14 PM)",,SNHG25,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL28,
"Pop2 high (4/10/2023, 12:08:14 PM)",,LGALS1,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS28,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL35,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL18A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS21,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-CYB,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS12,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MT-CO3,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL32,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS5,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL38,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RHBDL3,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS9,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL37A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,HLA-A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL13A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS15A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL41,
"Pop2 high (4/10/2023, 12:08:14 PM)",,VGF,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS14,
"Pop2 high (4/10/2023, 12:08:14 PM)",,CLU,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPLP1,
"Pop2 high (4/10/2023, 12:08:14 PM)",,CD320,
"Pop2 high (4/10/2023, 12:08:14 PM)",,COX7C,
"Pop2 high (4/10/2023, 12:08:14 PM)",,SNHG19,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPL29,
"Pop2 high (4/10/2023, 12:08:14 PM)",,RPS16,
"Pop2 high (4/10/2023, 12:08:14 PM)",,PLP2,
"Pop2 high (4/10/2023, 12:08:14 PM)",,PPIB,
"Pop2 high (4/10/2023, 12:08:14 PM)",,MZT2A,
"Pop2 high (4/10/2023, 12:08:14 PM)",,PHB2,
"Pop2 high (4/10/2023, 12:08:14 PM)",,UQCRB,
"Pop2 high (4/10/2023, 12:08:14 PM)",,CPXM1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,MALAT1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,WSB1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,NEAT1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PVT1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,XIST,
"Pop1 high (4/10/2023, 12:07:44 PM)",,HNRNPC,
"Pop1 high (4/10/2023, 12:07:44 PM)",,GOLGA4,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PUM2,
"Pop1 high (4/10/2023, 12:07:44 PM)",,GPCPD1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,WRN,
"Pop1 high (4/10/2023, 12:07:44 PM)",,BIRC6,
"Pop1 high (4/10/2023, 12:07:44 PM)",,CHD1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,RBM39,
"Pop1 high (4/10/2023, 12:07:44 PM)",,ANKRD17,
"Pop1 high (4/10/2023, 12:07:44 PM)",,SEC31A,
"Pop1 high (4/10/2023, 12:07:44 PM)",,USP9X,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PNISR,
"Pop1 high (4/10/2023, 12:07:44 PM)",,ASCC3,
"Pop1 high (4/10/2023, 12:07:44 PM)",,NUFIP2,
"Pop1 high (4/10/2023, 12:07:44 PM)",,FNDC3B,
"Pop1 high (4/10/2023, 12:07:44 PM)",,GPHN,
"Pop1 high (4/10/2023, 12:07:44 PM)",,UBE3A,
"Pop1 high (4/10/2023, 12:07:44 PM)",,SEC61G,
"Pop1 high (4/10/2023, 12:07:44 PM)",,JMJD1C,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PNN,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PTK2,
"Pop1 high (4/10/2023, 12:07:44 PM)",,RBM26,
"Pop1 high (4/10/2023, 12:07:44 PM)",,SRP54,
"Pop1 high (4/10/2023, 12:07:44 PM)",,HERC4,
"Pop1 high (4/10/2023, 12:07:44 PM)",,KMT2E,
"Pop1 high (4/10/2023, 12:07:44 PM)",,LCORL,
"Pop1 high (4/10/2023, 12:07:44 PM)",,ZCCHC7,
"Pop1 high (4/10/2023, 12:07:44 PM)",,MKLN1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,XPO1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,GLS,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PJA2,
"Pop1 high (4/10/2023, 12:07:44 PM)",,TRA2A,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PRPF4B,
"Pop1 high (4/10/2023, 12:07:44 PM)",,CUL3,
"Pop1 high (4/10/2023, 12:07:44 PM)",,ASH1L,
"Pop1 high (4/10/2023, 12:07:44 PM)",,GPBP1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,STRN3,
"Pop1 high (4/10/2023, 12:07:44 PM)",,ARGLU1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,PSME4,
"Pop1 high (4/10/2023, 12:07:44 PM)",,FBXO11,
"Pop1 high (4/10/2023, 12:07:44 PM)",,SBF2,
"Pop1 high (4/10/2023, 12:07:44 PM)",,QKI,
"Pop1 high (4/10/2023, 12:07:44 PM)",,KANSL1,
"Pop1 high (4/10/2023, 12:07:44 PM)",,SENP6,
"Pop1 high (4/10/2023, 12:07:44 PM)",,EIF3E,
"Pop2 high (4/10/2023, 12:07:44 PM)",,MT-ATP8,
"Pop2 high (4/10/2023, 12:07:44 PM)",,PIK3C2G,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RERGL,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RHBDL3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,LGALS1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPS15,
"Pop2 high (4/10/2023, 12:07:44 PM)",,MT-ND3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,C21orf58,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPL34,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPL36,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SNHG25,
"Pop2 high (4/10/2023, 12:07:44 PM)",,EYA2,
"Pop2 high (4/10/2023, 12:07:44 PM)",,EPHB1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,EFCAB6,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SCN1A,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RABAC1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,C12orf57,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPL18A,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPL28,
"Pop2 high (4/10/2023, 12:07:44 PM)",,LDLRAD4,
"Pop2 high (4/10/2023, 12:07:44 PM)",,CACNG4,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPLP1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,VWA5B1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,WDR45,
"Pop2 high (4/10/2023, 12:07:44 PM)",,NDUFA11,
"Pop2 high (4/10/2023, 12:07:44 PM)",,MLC1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,IGFBP5,
"Pop2 high (4/10/2023, 12:07:44 PM)",,EGLN3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SORBS2,
"Pop2 high (4/10/2023, 12:07:44 PM)",,FCGRT,
"Pop2 high (4/10/2023, 12:07:44 PM)",,VKORC1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,UQCR10,
"Pop2 high (4/10/2023, 12:07:44 PM)",,CDK18,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SCN3A,
"Pop2 high (4/10/2023, 12:07:44 PM)",,STC1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,MAGI2,
"Pop2 high (4/10/2023, 12:07:44 PM)",,WNT3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,RPS10,
"Pop2 high (4/10/2023, 12:07:44 PM)",,MTRNR2L8,
"Pop2 high (4/10/2023, 12:07:44 PM)",,CCDC33,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SLIT1,
"Pop2 high (4/10/2023, 12:07:44 PM)",,SNRPD2,
"Pop2 high (4/10/2023, 12:07:44 PM)",,KIRREL3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,DGKB,
"Pop2 high (4/10/2023, 12:07:44 PM)",,LRRC75B,
"Pop2 high (4/10/2023, 12:07:44 PM)",,PTX3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,CKLF,
"Pop2 high (4/10/2023, 12:07:44 PM)",,DIRC3,
"Pop2 high (4/10/2023, 12:07:44 PM)",,ZMAT4,
"Pop2 high (4/10/2023, 12:07:44 PM)",,ITGB8,
